"term","estimate","std.error","statistic","p.value","Response"
"(Intercept)",11013.4083779858,657.692806952327,16.7455204946222,3.0259393919698e-41,"N0"
"mean_smoothed_RESET_score",-10373.394381842,3604.80540467099,-2.87765724285714,0.00439739599288928,"N0"
"sampleSizeFractionation500",-3746.89081469672,925.118233352167,-4.05017507991369,7.0747061687137e-05,"N0"
"sampleSizeFractionationsessile",-4336.36895593184,896.701823536881,-4.83590959905468,2.47620246072348e-06,"N0"
"mean_smoothed_RESET_score:sampleSizeFractionation500",3750.83540001585,5052.89609205838,0.742313978296729,0.458681802718546,"N0"
"mean_smoothed_RESET_score:sampleSizeFractionationsessile",3717.49893324749,4945.47153299456,0.751697569876918,0.453029123966879,"N0"
"(Intercept)",3143.54449671986,251.110370680831,12.5185769436636,1.47806051454131e-27,"N1"
"mean_smoothed_RESET_score",-3363.99838558128,1376.33255500209,-2.44417555434207,0.0152982162182149,"N1"
"sampleSizeFractionation500",-1896.16365623714,353.214722808268,-5.36830300040016,1.99762764133815e-07,"N1"
"sampleSizeFractionationsessile",-2084.94550513361,342.365196818771,-6.0898290027922,4.92455955334241e-09,"N1"
"mean_smoothed_RESET_score:sampleSizeFractionation500",1728.21627028064,1929.22075059348,0.895810533734407,0.371324262232589,"N1"
"mean_smoothed_RESET_score:sampleSizeFractionationsessile",2039.03458941686,1888.20552196153,1.07987958180455,0.281367604893575,"N1"
"(Intercept)",755.298401598545,79.4721903855788,9.5039333625263,3.44272074702915e-18,"N2"
"mean_smoothed_RESET_score",-1132.0359976378,435.586003670164,-2.59888056112796,0.00997956105371826,"N2"
"sampleSizeFractionation500",-558.980998824281,111.786493014607,-5.00043416471826,1.1609330815845e-06,"N2"
"sampleSizeFractionationsessile",-572.537252514382,108.352801316838,-5.28400969385377,3.01358230117079e-07,"N2"
"mean_smoothed_RESET_score:sampleSizeFractionation500",931.746584669603,610.565777794371,1.52603801024597,0.128423795262849,"N2"
"mean_smoothed_RESET_score:sampleSizeFractionationsessile",1022.07276418417,597.585150790759,1.71033828874715,0.0886003800279353,"N2"
